368
ENSGALG00000030876		protein_coding
ENSGALG00000041853		protein_coding
ENSGALG00000038845		protein_coding
ENSGALG00000035410		lincRNA
ENSGALG00000032775		lincRNA
ENSGALG00000045916	PRF1	protein_coding
ENSGALG00000041514		protein_coding
ENSGALG00000033920	ANKMY1	protein_coding
ENSGALG00000040771		protein_coding
ENSGALG00000030561		protein_coding
ENSGALG00000038145	DPP7	protein_coding
ENSGALG00000039715		lincRNA
ENSGALG00000037375	MAN1B1	protein_coding
ENSGALG00000034948	UAP1L1	protein_coding
ENSGALG00000036220		lincRNA
ENSGALG00000045064		lincRNA
ENSGALG00000030066		lincRNA
ENSGALG00000039696		protein_coding
ENSGALG00000041390	TMEM141	protein_coding
ENSGALG00000038789	CLIC3	protein_coding
ENSGALG00000036894	ABCA2	protein_coding
ENSGALG00000034975	CFTII	protein_coding
ENSGALG00000031482	Pou5f3	protein_coding
ENSGALG00000042635	NPDC1	protein_coding
ENSGALG00000031739		protein_coding
ENSGALG00000043064		protein_coding
ENSGALG00000032170		protein_coding
ENSGALG00000030886		protein_coding
ENSGALG00000040644	C8G	protein_coding
ENSGALG00000030831	FBXW5	protein_coding
ENSGALG00000042838	TRAF2	protein_coding
ENSGALG00000038003	EDF1	protein_coding
ENSGALG00000037670		lincRNA
ENSGALG00000039061	PHPT1	protein_coding
ENSGALG00000030913	C9orf172	protein_coding
ENSGALG00000030263	RABL6	protein_coding
ENSGALG00000030255	AMBP	protein_coding
ENSGALG00000027231	NRARP	protein_coding
ENSGALG00000040536		lincRNA
ENSGALG00000008959		protein_coding
ENSGALG00000008952	NOXA1	protein_coding
ENSGALG00000008932		protein_coding
ENSGALG00000008936		protein_coding
ENSGALG00000021274		protein_coding
ENSGALG00000008925	TMEM203	protein_coding
ENSGALG00000008920	NDOR1	protein_coding
ENSGALG00000008911	RNF208	protein_coding
ENSGALG00000031254		lincRNA
ENSGALG00000045182		lincRNA
ENSGALG00000045901		protein_coding
ENSGALG00000008898	GRIN1	protein_coding
ENSGALG00000045310		protein_coding
ENSGALG00000008886	ZNF618	protein_coding
ENSGALG00000035977		lincRNA
ENSGALG00000044186		protein_coding
ENSGALG00000044454		protein_coding
ENSGALG00000008881	RGS3	protein_coding
ENSGALG00000008873	POLE3	protein_coding
ENSGALG00000008865	ALAD	protein_coding
ENSGALG00000044101	HDHD3	protein_coding
ENSGALG00000008861	BSPRY	protein_coding
ENSGALG00000008859	WDR31	protein_coding
ENSGALG00000008857	PRPF4	protein_coding
ENSGALG00000026095	CDC26	protein_coding
ENSGALG00000008844	SLC31A1	protein_coding
ENSGALG00000008838	FKBP15	protein_coding
ENSGALG00000008819	LRSAM1	protein_coding
ENSGALG00000008806	RPL12	protein_coding
ENSGALG00000025692	SNORA65	snoRNA
